Patient	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory Tregs	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score
LF	0.137800573139603	0.109783618689131	0	1.04838081267214	0	1.0163641576407	0.204946105711111	0.253746612227043	0	0	0	0.170289572598033	0.432837744157651	0	0.119313772481177	1.87160425802373	0.753462912271366	0.322561248524943	0	0.989938064340921	0	2.2187633912136	0.023	0.237579500049798	0.995815814266824	9.64979284369115
CGJ	0	0.095320266896265	0.0601661138468294	0	0	0	0	0.191424605270639	0	0	0	0.0503065795327926	0	1.79112399031957	0	0.0642100002230878	0	0.200464127605552	0.0613169485704994	0	0	0.146382998619891	0.0659999999999999	0.143003742576426	1.1214715616517	2.66071563088512
PYG	0.169388144116722	0.229769122837795	1.81591734014681	2.87801656855742	0	1.36130774463052	0	3.04441611783273	0.37470117161816	0	0	0	2.11939270347863	1.67512898131112	2.2767492062722	3.40034788719939	0	0.509403797247731	0.276159644542469	0.365628552385606	0	1.0545016430581	0.052	0.162617397451874	1.01789432723257	21.5508286252354
ZXZ	0.0717940260026382	0	0.18761076257518	1.62191105673433	0	1.00911706124044	0.419772831301598	0.499146404361878	0.149938917058039	0	0	0.397478291900308	0.200916949979569	0.103782605144594	0.367490823967761	1.56376808317699	0.112442285625132	0.475874076252392	0.778537205389481	0	0.0396290095811323	0.316891304623794	0.0600000000000001	0.148770755786478	1.02078332892452	8.31610169491525
ZXJ	11.7808476958186	0	7.3181176534197	2.01796079911527	0	2.18544958194207	0	3.79988637394843	0	0	0	2.51406279990805	0	1.80198930555096	0.0210655650611664	8.61333958383	0	1.72883974158645	0.915140161421367	0	0.267721683266294	10.9862946860168	0.002	0.40152705390302	0.921385718879422	53.9507156308851
LGF	0	0.321207462725885	0.143652531917559	0.0667565426833396	0.0866960241983082	0.527407560224286	0.0036561060226294	0	0	0	0	0.31886481123814	0	2.98667972697168	0.191228544031646	1.00743611039016	0.110684661134384	0.373894663391339	0.699719818181953	0.226017746868132	0	0.531314262525272	0.00800000000000001	0.295062811199715	0.979203573455981	7.59521657250471
JXS	0.321127476039361	0.173717177169711	0.991530472516346	0.994167872650674	0.0574185246867075	0	0.284067196115246	0.891956912134777	0	0	0.892303504761328	0	0.319890046980615	1.47610321819786	0	4.91827966888408	0.252188217605772	0.583139531449763	0	3.24168776812412	0.0385568443054494	0.669816604159736	0.076	0.133902639458078	1.04083246095202	16.1059510357815
SYQ	0	0.0486584295515406	0.282957299973348	0.296822966923313	0	1.45416612566408	0	0.0708305135277795	0	0	0	0.370632061853298	0.343335563319581	0.0913192955597815	0	0.80533111523125	0.0409350116029416	0.639625812657069	1.19513531611321	0.0198811071714143	0	0.201216838478516	0.0639999999999999	0.144310180846629	1.01916638808761	5.86084745762712
NXH	0.362172195484016	0	0.418053822695143	2.12137655083046	0	3.73174166448569	0.528831363861392	0	0	0	2.09280269767101	0	0.601819843318431	2.7811670718439	0.984298472161999	5.19570784844314	0.0517489326970805	2.06969414258443	0	7.43639602254366	0	7.08763569906328	0.213	0.0557338150407583	1.08719154864166	35.4634463276836
XGL	3.05798295838601	0	1.06311484956806	9.98070740196555	0	6.40505323615965	3.5126663380863	3.12643777502105	0	0	1.78901779190635	0.868476660270838	0.496380161829576	0	3.61588162087745	9.48695291351438	1.3971840552798	0.3566731430979	1.71224132672259	0	0	3.80972317597741	0.088	0.123401223317286	1.0337598345363	50.6784934086629
GYZ	0.153454712995429	0.540051435888524	0.269150262296915	0.144604469641286	0	2.53459191758095	0	1.30059367858144	0	0	0	1.18802103578316	0.777362855457989	0	0.337630831828469	3.14859182874033	0.0981236342623035	2.18950686783	0	4.44271276581397	0	6.903908788045	0.143	0.0808479214080745	1.08828412491458	24.0283050847458
LWL	0.0920825543423907	0.661432908509789	0.422945487533596	0.954127632105776	0	0.894896887700261	0	1.00595586532696	0	0	0.6090102063787	0.484692379376414	0.46311752100819	1.06225720638175	0.655103976743533	2.15949320228247	0	0.139588147498629	0.055905090414964	0.640208995594027	0	0.301630149725345	0.052	0.161867579296536	1.0168149735159	10.6024482109228
