Sample	TotalMut	ClonalCount	ClonalMean	SubclonalCount	ITH	NumCluster
DGR	889	223	0.999241380145	666	0.75	89
HWX	439	299	0.86133248174	140	0.32	21
LCB	934	251	0.999724680744	683	0.73	22
LCS	619	5	0.978007965246	614	0.99	190
LHP	433	254	0.997980344879	179	0.41	8
LJP	467	68	0.991864380653	399	0.85	67
MHC	171	36	0.971172537213	135	0.79	39
WZW	268	120	0.931475546522	148	0.55	38
ZJ	1345	293	0.610644806008445	1052	0.78	2
CGJ	193	105	0.91939785526	88	0.46	25
JXS	357	95	0.993554545657	262	0.73	42
LF	275	275	0.678237741749	0	0.00	1
LGF	235	161	0.928962160911	74	0.31	10
PYG	239	132	0.992325641044	107	0.45	58
SYQ	280	162	0.976491180962	118	0.42	32
ZXJ	151	44	0.792392819516	107	0.71	71
ZXZ	433	234	0.985476390171	199	0.46	56
FSG	295	193	0.994110075589	102	0.35	2
GYZ	343	232	0.763716995666	111	0.32	5
LWL	307	3	0.857541996161	304	0.99	4
RZL	199	199	0.673700375838	0	0.00	1
WFG	395	91	0.999233117958	304	0.77	2
XGL	330	134	0.997252669493	196	0.59	3
NXH	437	366	0.815442619776	70	0.16	41
