NXH	XGL	LF	GYZ	CGJ	PYG	ZXZ	ZXJ	LGF	JXS	SYQ	LWL
aDC	0.777978223208061	0.706756974450302	0.557315259791553	0.837389879762118	0.468625626975275	0.591419152007137	0.596095243185176	0.706518880785819	0.587901214372296	0.64898856942155	0.553541638129121	0.660947113110223
B cells	0.583674044022137	0.604182955336543	0.573066275652308	0.647049886777195	0.452824353304235	0.528347422818675	0.576026128626109	0.712335517136395	0.405348044731976	0.590713973242714	0.554219226311389	0.551723806265964
CD8 T cells	0.808280414957215	0.850034696705959	0.811385349726978	0.786199654259684	0.765064279142543	0.815218916389899	0.820107564955542	0.806326859783995	0.775481976447594	0.787905969502892	0.806147449910875	0.795877473354566
Cytotoxic cells	0.704387722166383	0.746797244578952	0.661411073127383	0.595184570529535	0.497637324580136	0.611350898499797	0.681709844583466	0.609758562711794	0.530174540467002	0.639354441698228	0.596563449359325	0.619660166185321
DC	0.705371616902659	0.689662283557783	0.580856661534557	0.682123088313108	0.431233019532666	0.473145587280775	0.562908998085356	0.628596639801769	0.548713319706434	0.612833695715971	0.476721085378122	0.580201251495019
Eosinophils	0.67251493635225	0.689148907665797	0.641496047055762	0.711972447363425	0.624118414092376	0.668820063269925	0.67406608761279	0.693441441431994	0.663271653561031	0.67055463619876	0.582333561137858	0.626743952922582
iDC	0.74344788793163	0.702535458170184	0.730412527977357	0.695538582565723	0.615125236482863	0.667207495602184	0.63378398336425	0.69597512772738	0.707308022788008	0.659055821019206	0.619393192508032	0.67810332080764
Macrophages	0.80291401093314	0.782238159007419	0.708803830708499	0.797511544463935	0.760199086441014	0.719501785198211	0.678759802364338	0.752573393345876	0.716176210076001	0.720674204411833	0.611394842756828	0.696292663704567
Mast cells	0.500848382148755	0.500683611588207	0.581291340231646	0.594537510702926	0.398179587676392	0.479728336660212	0.527669905570839	0.60531312186292	0.500206618088225	0.576414802391135	0.498566494899774	0.465922947138861
Neutrophils	0.856888331560559	0.757927868213307	0.783988891559553	0.8524346852516	0.626068607324256	0.641494423592211	0.660904183107908	0.779375964565224	0.679959633064051	0.683547355283206	0.59783598184099	0.63455391870823
NK CD56bright cells	0.635880264730318	0.650384453376577	0.539462979535276	0.626484174059724	0.527404646958271	0.627540008702535	0.642679322631544	0.71548643955123	0.537034764008906	0.590365654049346	0.68187737303845	0.599128435789318
NK CD56dim cells	0.503111317473446	0.521294271757094	0.399498605455786	0.343601980239261	0.254022311117318	0.414898911334089	0.292052412797655	0.422193918183066	0.253125112348661	0.411462085217074	0.408168071078571	0.323656524481703
NK cells	0.623109126812697	0.602871797001032	0.607442049450111	0.600793407173723	0.61492994298409	0.606652571110136	0.616486421977672	0.639542688213088	0.591949805508607	0.630258558834378	0.620372574942619	0.629235492850117
pDC	0.698922598825461	0.652986660705645	0.61626037277122	0.681776176935586	0.441950896091626	0.460295321257648	0.565794484763468	0.567179676051515	0.552915949544873	0.572233752372766	0.526559877469608	0.563922604644486
T cells	0.652656911697024	0.770654367452976	0.597805507318937	0.60301217344982	0.481965807975597	0.570590529716611	0.684458493023144	0.594258250780264	0.535222090775667	0.550213168902699	0.574606228821881	0.57202928095925
T helper cells	0.862347929668063	0.87713070242765	0.86772960612078	0.870234912599813	0.817873328451651	0.857791866081883	0.875790567541975	0.858586450207356	0.86832240799743	0.83608944692773	0.871292052347153	0.860613190904932
Tcm cells	0.730866055371052	0.769070525077931	0.728793519947481	0.724600822589763	0.797426774194954	0.742281805477351	0.744710540453632	0.653812134458715	0.722859371832366	0.67988795574069	0.772952448456058	0.681283447617689
Tem cells	0.731659268406513	0.727012137711833	0.709078987696517	0.753985672137603	0.714491831559568	0.699119295023727	0.683318507842038	0.655197718196333	0.675785205616574	0.683480789428452	0.70100939749553	0.644768382616781
Tfh cells	0.555740188664356	0.6220772950704	0.57130867991555	0.647993563514779	0.548565667555857	0.546530879874721	0.55677269907694	0.685976937366911	0.546782386742459	0.637487706990037	0.538502352152112	0.556681553360084
Tgd cells	0.466759459949531	0.432706626964147	0.514242766679707	0.175152927208736	0.056043851205322	0.196674972593987	0.385566618180768	0.435345439612791	0.261658404536777	0.407469794037045	0.164919831629311	0.162581289503419
Th1 cells	0.716964385476522	0.64358931102025	0.642854190600611	0.612777445463868	0.541421335718336	0.575949027881992	0.631225660035746	0.630710594322661	0.596478855849207	0.591819040599715	0.600713564681871	0.595125122586972
Th17 cells	0.513746208340098	0.41110125707186	0.560188521871458	0.566228992295655	0.262791194324003	0.439595048014339	0.606775871123144	0.490740871168034	0.176006546817583	0.479094794504015	0.541713704772461	0.470075558087921
Th2 cells	0.704547321106059	0.654067785894439	0.686017216836115	0.714200520067714	0.564699780380719	0.645704335132636	0.641998064766352	0.704816762756377	0.678763014114875	0.674056064751485	0.697431736864064	0.655043283297931
Treg cells	0.667212949609907	0.824450879604387	0.668448390488435	0.666763698381352	0.44464640346296	0.597915947605198	0.719400967327123	0.574442570913165	0.560141406804143	0.574592321322683	0.523789494893514	0.539251224676305
Angiogenesis	0.753542185580631	0.754268502428764	0.658283749306933	0.784701947093074	0.624674131913229	0.609404366311858	0.640236066764076	0.702662629559367	0.672203723763791	0.656875954994339	0.628722217940552	0.713770522113166
APM	1.02034720149549	1.05604385120532	1.03655241891935	1.05124256011869	1.01588061858384	1.04030568126816	1.04892902768185	1.01763000784307	1.0195066932052	1.04324711058209	0.975439312825763	0.9801936539
